Bamberg: Quelle: Flickr, Allie_Caulfied
Berlin Alexanderpatz: Quelle: Flickr, NervousEnergy
Berlin Friedrichstrasse: Flickr, xurde
Berlin Lichtenberg: Quelle: flickr, quapan
Berlin Ostbahnhof: Quelle: flickr, rs-foto
Berlin Südkreuz: Quelle: flickr, IngolfBLN
Berlin Zoo: Quelle: flickr, Metro Centric
Bielefeld Hbf: Quelle flickr, Evgeny Borisov
Bremen: Quelle: flickr, J-Cornelius
Cottbus: Quelle: flickr, IngolfBLN
Darmstadt Hbf: Quelle: flickr, hugh llewelyn
Dortmund Hbf: Quelle: flickr,qdos
Dresden Hbf: Quelle: flickr, FunkBrothers
Dresden Neustadt: Quelle: flickr, sethschoen
Duisburg Hbf: Quelle: flickr, coolagad
Erfurt Hbf: Quelle: flickr,larssteffens.de
Essen Hbf: Quelle: flickr,Casey Hugelfink
Freankfurst am Main Flgh Fern: Quelle: flickr, warrenski
Hackescher Markt: Quelle Flickr,IngolfBLN
Halle Saale: Quelle: flickr,onnola
Hamburg Dammtor: Quelle: flickr, s.bär
Hannover Hbf: Quelle: flickr,interbeat
Heidelberg Hbf: Quelle: flickr, hugh llewelyn
Karlsruhe Hbf: Quelle: flickr, hugh llewelyn
Kassel Hbf: Quelle: flickr, Ladycliff
Kiel Hbf: Quelle: flickr, J-Cornelius
Koblenz Hbf: Quelle: flickr, larssteffens.de
Köln Hbf: Quelle: flickr, myahya
Leipzig: Quelle: flickr, achimh
Magdeburg Hbf: Quelle: flickr, sludgegulper 
Mainz Hbf: Quelle: flickr, myahya
Mannheim Hbf: Quelle: flickr, Loz Flowers
München Hbf: Quelle: flickr, dustpuppy
München Ost: Quelle: flickr, blu-news.org
Rostock Hbf: Quelle: flickr, sludgegulper
Saarbrücken Hbf: Quelle: flickr, J-Cornelius
Stuttgart Hbf: Quelle: flickr, dustpuppy
Weimar bahnhof: Quelle: flickr, stiefkind
Wiesbaden Hbf: Quelle: flickr, marfis75
Würzburg Hbf: Quelle: flickr, Matthew Black
































